type,alcool,sulphites,pH,densite,chlorure,sucre_residuel,acide_citrique,acidite_volatile,acidite_non_volatile,dioxyde_souffre_total,dioxyde_souffre_libre,qualite
NA,10.9,0.48,3.16,0.9924,0.049,1.6,0.37,0.21,7.2,94,23,7
NA,10.15,0.58,3.32,0.99362,0.036,6,0.33,0.17,6,111,30,7
NA,12.4,0.64,3.35,0.9906,0.035,1.4,0.32,0.16,6.6,186,49,8
NA,NA,0.42,3.13,0.9927,0.049,1.1,0.33,0.245,5.7,150,28,5
blanc,8.8,0.44,3.19,0.9976,0.044,11.8,0.51,0.37,6.8,163,62,5
NA,9.2,0.43,2.96,0.99288,0.176,1.2,0.69,0.27,6.7,106,36,6
NA,8.6,0.69,3.21,1.0003,0.044,14.6,0.42,0.22,8,163,45,7
NA,12.5,0.63,3.13,0.99076,0.029,NA,0.36,0.24,7.2,63,21,6
NA,10.7,0.62,3.43,0.9985,0.082,2.6,0.39,0.5,8,46,12,6
NA,10.3,0.59,3.4,0.9961,0.241,NA,0.17,0.635,6.9,18,6,6
NA,9.1,0.48,3.23,NA,0.053,8,0.45,0.22,6.5,196,52,6
NA,8.9,0.44,3.04,0.99628,0.038,10.4,0.42,0.17,6.7,182,85,6
NA,10.5666666666667,0.57,3.28,0.99212,0.048,1.7,0.25,0.51,6.5,177,39,5
NA,NA,0.33,3.19,0.9927,0.041,1.2,0.27,0.21,7.4,99,27,6
NA,9.3,0.61,3.08,NA,0.056,9.5,0.22,0.29,7.8,213,44,6
NA,9.3,0.4,3.16,0.996,0.049,NA,0.49,0.325,6.6,217,53,5
NA,12,0.31,2.98,NA,0.036,9.1,0.31,0.31,7,140,45,7
blanc,10.4,0.37,3.36,0.99474,0.053,9,0.16,0.27,5.7,111,32,6
NA,12.8,0.4,3.39,0.99242,0.059,2.2,0.01,0.75,7.1,18,11,6
NA,9.6,0.46,3.3,0.9928,0.051,1.5,0.49,0.22,6.1,87,18,5
NA,10.7,0.49,2.93,0.99362,0.039,6.7,0.35,0.25,7.9,64,22,5
NA,9.5,0.49,3.16,1.0004,0.091,2.3,0.63,0.39,12.3,18,6,5
NA,11,0.4,3.42,0.9908,0.031,1.2,0.18,0.26,5.8,114,40,7
NA,10.6,0.6,3.39,0.9948,0.077,NA,0.24,0.46,6.7,34,18,6
NA,10.2,0.6,3.14,0.9988,0.087,2.2,0.24,0.68,9.6,28,5,5
NA,9.4,0.59,3.34,NA,0.082,2,0.37,0.34,7.8,58,24,6
NA,9.7,0.35,3.14,NA,0.039,14.9,0.23,0.25,6.3,142,47,6
NA,13.1,0.42,3.03,0.99154,0.031,NA,0.38,0.28,6.5,216,54,6
NA,12.8,0.33,3.36,0.98986,0.037,NA,0.34,0.28,5.8,125,24,8
NA,10.4,0.6,3.36,0.9937,0.043,6.6,0.12,0.32,5.3,141,22,6
rouge,10.4,0.64,3.49,NA,0.082,1.8,0.17,0.43,7.1,51,27,5
NA,11.4,0.69,3.27,0.99053,0.035,1.7,0.31,0.29,6.5,79,24,7
NA,11.4,0.69,3.15,NA,0.047,1.7,0.41,0.27,6.9,134,6,6
NA,NA,0.54,3.45,0.9958,0.038,7.6,0.32,0.24,6.5,203,48,7
NA,12.1,0.51,3.55,NA,0.048,1.6,0.1,0.6,6.3,26,12,5
NA,11.6,0.57,3.29,0.9912,0.038,NA,0.36,0.28,6.6,101,22,6
NA,9,0.36,2.88,0.99666,0.035,NA,0.32,0.16,6.7,156,18,6
blanc,11,0.44,3.11,0.99104,0.025,1.4,0.3,0.2,6.7,76,17,6
NA,9.4,0.57,3.25,0.99882,0.037,16.8,0.41,0.33,6.2,173,58,6
NA,11.2,0.38,3.28,0.9909,0.041,1.4,0.27,0.15,6.2,117,51,6
NA,11.3,0.38,3.19,NA,0.036,1.1,0.29,0.3,5.9,56,23,5
NA,9.8,0.45,3.51,1.0004,0.054,19.4,0.74,0.25,6.7,169,44,6
NA,8.8,0.48,3.27,NA,0.046,18.1,0.36,0.21,6.8,133,32,5
NA,NA,0.32,3.29,0.9944,0.037,5.1,0.22,0.26,6.4,131,23,5
NA,12.1,0.72,2.9,NA,0.038,4.7,0.31,0.37,8,127,3,5
blanc,NA,0.59,3.09,0.9937,0.048,10.8,0.41,0.29,6,149,55,7
NA,12,0.51,3.13,0.9953,0.03,NA,0.24,0.49,7.4,153,34,7
NA,12.6,0.41,3,0.9906,0.029,NA,0.28,0.38,7.6,112,7,6
blanc,NA,0.51,3.24,0.9939,0.037,6.1,0.3,0.2,7,120,31,5
blanc,10.7,0.41,3.37,0.99272,0.029,1.7,0.23,0.17,7.8,128,39,7
blanc,10.1,0.5,3.3,0.99773,0.059,17.8,0.24,0.26,5.7,124,23,5
NA,10.8,0.56,3.06,0.99373,0.046,1.7,0.59,0.3,8.7,70,10,4
NA,9.8,0.54,3.05,0.99208,0.024,1.2,0.32,0.31,6.9,166,20,6
rouge,10.2,0.61,3.46,0.99669,0.079,2.9,0.09,0.56,6.7,22,7,5
NA,NA,0.52,3.19,0.99823,0.092,2.5,0.21,0.42,8.8,88,33,5
NA,10.5,0.58,3.37,0.99615,0.073,2.6,0.25,0.43,7.7,63,29,6
NA,11,0.51,3.02,0.99109,0.033,1.1,0.3,0.18,8.3,57,20,6
blanc,NA,0.52,3.18,0.9956,0.056,7.9,0.51,0.28,6.2,206,49,5
NA,11.4,0.47,3.04,0.99254,0.041,7.4,0.31,0.28,6.7,81,7,8
NA,10,0.45,3.38,NA,0.037,10.4,0.14,0.41,6.1,119,18,5
NA,12,0.53,3.33,0.9949,0.034,13.9,0.34,0.26,6.8,134,39,6
rouge,11.4,0.46,3.19,0.99478,0.068,NA,0.43,0.39,9.8,11,5,5
NA,9.1,0.44,2.96,1,0.066,19.8,0.42,0.28,7.4,195,53,5
NA,10.7,0.47,3.51,NA,0.06,1.2,0.34,0.21,7.5,111,26,6
NA,NA,0.89,3.38,0.99504,0.072,1.8,0.12,0.62,8.4,46,38,6
blanc,9.4,0.54,3.32,0.9946,0.064,2,0.24,0.37,6.6,120,23,5
NA,10.7,0.62,3.39,NA,0.037,6.7,0.33,0.28,7.7,155,32,7
NA,10.7,0.4,3.21,0.99397,0.036,7.8,0.34,0.29,7.1,128,49,6
NA,12.3,0.38,2.99,0.99139,0.026,8.3,0.3,0.28,6.9,113,37,8
NA,NA,0.38,3.22,0.98946,0.039,2.5,0.28,0.31,6.4,137,34,6
NA,11.4,0.74,3.27,0.9914,0.044,2.1,0.36,0.12,6.3,146,47,7
blanc,NA,0.69,3.21,1.0003,0.044,14.6,0.42,0.22,8,163,45,7
NA,9.4,0.54,3.11,NA,0.18,1.4,0.35,0.3,6.7,160,36,6
NA,10.7,0.37,3.19,0.9952,0.049,12.2,0.28,0.24,6.2,133,54,6
NA,9.4,0.66,3.47,0.99803,0.08,NA,0.17,0.38,6.3,212,50,4
NA,12.1,0.33,2.96,NA,0.028,3.5,0.35,0.28,7.1,91,35,5
blanc,9.5,0.52,3.24,0.9966,0.049,11.3,0.42,0.25,6.6,231,77,6
NA,12.8,0.7,3.33,0.99356,0.052,2.4,0.4,0.28,8.2,10,4,7
blanc,9,0.52,3,0.99808,0.062,12.8,0.3,0.18,6.8,171,19,7
NA,NA,0.53,3.27,0.98938,0.036,2.6,0.31,0.35,6.2,92,37,7
NA,11.7,0.37,3.16,0.98988,0.032,1,0.35,0.24,7,104,42,7
NA,11.9,0.4,3.02,0.99043,0.04,NA,0.28,0.27,7.4,121,45,5
NA,10.9,0.58,3.4,NA,0.067,2.2,0,0.47,7.1,14,7,4
NA,12.4,0.32,2.99,0.99123000000000006,0.036,7.5,0.34,0.33,6.7,124,39,8
blanc,9.1,0.54,3.22,NA,0.064,1.2,0.03,0.35,6.2,120,29,5
NA,NA,0.61,3.25,0.99464,0.056,10.7,0.57,0.255,5.6,171,66,7
NA,11.8,0.51,3.32,0.99332,0.065,2.3,0.01,0.62,7.2,46,8,6
NA,NA,0.86,3.36,0.9994,0.093,2.6,0,0.785,9.1,28,11,6
NA,9.55,0.65,3.31,0.99745,0.092,NA,0.1,0.685,8.6,12,3,6
NA,9.1,0.39,3.42,NA,0.043,0.8,0.3,0.19,6.5,144,33,6
NA,10.8,0.63,3.18,NA,0.04,1.2,0.37,0.18,7.9,75,16,5
NA,9.4,0.56,3.51,0.9978,0.076,NA,0,0.7,7.4,34,11,5
NA,12.1,0.35,3.18,0.99286,0.026,NA,0.39,0.32,6.8,124,34,6
NA,9.3,0.34,3.19,NA,0.067,12,0.42,0.615,6.9,131,24,5
NA,11.5,0.31,3.15,NA,0.046,3.9,0.31,0.22,6.5,106,17,5
NA,11.4,0.51,3.21,0.99076,0.037,1.6,0.24,0.23,5.9,115,32,6
NA,9.7,0.64,3.31,0.9976,0.037,8.3,0.34,0.45,8.1,216,33,5
NA,10,0.5,3.15,NA,0.052,13.6,0.46,0.18,7.8,118,38,6
blanc,9.8,0.5,3.34,0.9984,0.05,13.9,0.25,0.27,7.6,199,45,6
blanc,9.5,0.5,2.85,NA,0.042,17.5,0.71,0.19,6.8,114,21,6
NA,NA,0.42,3.33,0.9972,0.045,12.6,0.2,0.29,6,187,45,5
NA,NA,0.79,3.34,0.9973,0.072,4.6,0.48,0.41,9.4,20,10,7
NA,9.8,0.33,3.19,0.9927,0.041,NA,0.27,0.21,7.4,99,27,6
rouge,10,0.68,3.22,0.9984,0.095,NA,0.33,0.43,10,89,28,5
NA,9.4,0.64,3.18,NA,0.159,2.8,0.52,0.34,10.3,75,15,5
rouge,NA,0.58,3.26,0.99616,0.083,2,0.27,0.63,7.5,91,17,6
NA,9.4,0.49,3.16,0.99596,0.097,1.7,0.12,0.39,7.7,27,19,5
NA,12,0.6,3.51,0.98984,0.034,NA,0.58,0.18,5.6,129,29,7
NA,11.5,0.55,3.13,NA,0.022,6,0.43,0.26,7.4,125,22,6
NA,9.4,0.46,3.2,0.99537,0.048,7.2,0.41,0.32,6.6,178,55,5
blanc,11,0.38,3.22,0.99299,0.046,5.6,0.34,0.21,6.6,140,30,5
NA,NA,0.47,3.2,0.99739,0.077,2.5,0.18,0.745,8.9,48,15,6
NA,9.9,0.55,3.14,0.9961,0.049,12,0.26,0.32,6.3,170,63,6
blanc,9.5,0.58,3.14,0.996,0.058,3.2,0.46,0.28,9.2,133,39,5
NA,NA,0.47,3.08,0.99422,0.05,4.6,0.27,0.17,7.6,98,23,6
NA,12.4,0.38,3.14,0.9931,0.033,8.65,0.49,0.35,7.7,186,42,8
NA,NA,0.67,3.29,0.99692,0.078,1.7,0.24,0.785,9,21,10,5
NA,NA,0.48,3.24,0.9924,0.057,1.6,0.1,0.37,5.9,128,39,5
rouge,NA,0.45,3.24,0.99664,0.11,3.8,0.27,0.75,7.7,89,34,5
NA,12.4,0.44,3.75,0.99248,0.036,NA,0.02,0.31,3.8,114,20,6
NA,11.2,0.74,3.26,NA,0.084,2.8,0.63,0.33,10.4,22,5,7
NA,9.7,0.6,3.34,0.99606,0.099,NA,0,0.685,7,22,9,5
NA,10.4,0.48,3.1,0.99628,0.081,1.9,0.46,0.33,10.2,9,6,6
NA,NA,0.39,3.33,0.9892,0.029,1.2,0.48,0.66,6.2,75,29,8
NA,9.6,0.5,2.89,0.9986,0.106,2.2,0.39,0.43,10.7,32,8,5
NA,9.3,0.59,3.25,NA,0.05,12.7,0.29,0.38,7.5,209,25,6
blanc,11.7,0.37,3.14,0.9902,0.034,1.2,0.27,0.2,6.8,68,19,4
NA,8.8,0.64,2.94,NA,0.054,18.1,0.5,0.2,6.5,221,50,6
NA,9.2,0.41,3.23,NA,0.034,6.4,0.34,0.26,5.1,99,26,6
NA,NA,0.64,3.44,0.99314,0.047,2.9,0.25,0.26,6.1,440,289,3
NA,10.3,0.75,3.11,0.9932,0.043,NA,0.44,0.16,7.6,109,25,6
NA,8.7,0.39,3.28,0.9997,0.042,NA,0.49,0.21,6.6,158,41,6
NA,9,0.45,3.13,0.9983,0.06,14.9,0.2,0.34,6.4,162,37,4
blanc,NA,0.38,3.11,0.9956,0.052,7.4,0.49,0.46,6.6,184,19,5
NA,10,0.43,3.06,NA,0.056,10,0.74,0.25,9.8,225,36,4
blanc,8.7,0.36,3.3,1.0001,0.042,18.15,0.27,0.21,6.8,146,41,5
blanc,11.8,0.31,3.11,0.9899,0.027,0.7,0.33,0.32,6.8,66,15,6
NA,8.9,0.82,3.34,1.0004,0.055,11.8,0.38,0.2,8.4,170,51,6
NA,NA,0.52,3.2,0.9968,0.074,1.7,0.21,0.73,8.2,13,5,5
NA,10.7,0.41,3.19,NA,0.038,8.75,0.32,0.16,6.4,118,38,5
NA,NA,0.6,3.41,0.9964,0.098,2.4,0.25,0.36,6.9,16,5,6
blanc,NA,0.4,3.24,0.9973,0.03,19.6,1,0.49,7.7,135,28,6
NA,9.6,0.58,3.07,0.99692,0.031,10.4,0.33,0.32,7.8,194,47,6
NA,9.5,0.49,3.08,0.999,0.045,NA,0.54,0.28,7.2,200,54,6
NA,12.4,0.88,3.32,0.99528,0.074,2.5,0.39,0.33,8.2,48,29,7
NA,NA,0.9,3.38,0.99035,0.045,1.8,0.34,0.17,5.8,170,96,8
NA,9.1,0.54,3.23,NA,0.058,9.2,0.38,0.435,6.6,243,66,6
blanc,11.5,0.46,3.18,0.9942,0.034,6.4,0.39,0.25,7.3,84,8,5
NA,10.1,0.57,3.08,0.9984,0.076,2.9,0.43,1.02,10.6,88,26,6
NA,11.6,0.76,3.35,NA,0.062,2,0.02,0.58,6.6,53,37,7
NA,9.7,0.56,3.04,NA,0.038,9.2,0.32,0.23,7.5,191,54,6
NA,NA,0.6,3.2,0.99026,0.038,4,0.27,0.3,6.5,97,37,8
NA,9.2,0.72,3.56,NA,0.096,7.7,0.18,0.44,6.2,210,28,5
NA,12.2,0.62,3.33,0.99674,0.065,2.9,0.44,0.46,10,8,4,6
NA,9.1,0.36,3.29,0.9952,0.058,NA,0.28,0.19,6.9,146,14,6
NA,NA,0.66,3.19,0.99006,0.036,1.4,0.36,0.17,6.8,108,38,6
NA,9.2,0.39,3.03,0.9932,0.137,1.1,0.81,0.21,6.9,123,52,6
NA,9.6,0.51,3.12,NA,0.046,7.8,0.41,0.29,6.9,171,52,5
blanc,9.8,0.64,3.23,NA,0.046,2.1,0.31,0.28,7.8,208,28,5
NA,10.9,0.61,3.4,NA,0.079,2.3,0.01,0.6,7.1,37,24,6
NA,NA,0.45,3.45,0.99856,0.058,12.05,0.28,0.22,6.6,125,25,5
NA,10.2,0.67,3.21,0.998,0.059,2.1,0.64,0.44,11.6,15,5,6
NA,9.4,0.61,3.27,0.9975,0.171,1.9,0.49,0.53,9,25,6,6
NA,9.4,0.49,3.08,0.99754,0.033,12.9,0.17,0.4,6.9,186,59,5
NA,NA,0.67,3.1,0.99676,0.051,12.3,0.22,0.24,6.6,146,35,5
blanc,11.3,0.59,3.08,0.9935,0.06,NA,0.28,0.22,7.2,132,41,6
NA,11.2,0.45,3.56,0.9922,0.03,4.5,0.47,0.19,5.6,112,19,6
NA,NA,0.57,3.11,0.99708,0.04,11.4,0.34,0.25,7.9,202,53,6
NA,10.5,0.46,3.47,0.99212,0.036,1.3,0.14,0.335,4.7,168,69,5
NA,9.5,0.59,3.28,0.9962,0.08,1.8,0.24,0.41,7.6,11,4,5
NA,NA,0.6,3.51,0.98984,0.034,1.25,0.58,0.18,5.6,129,29,7
NA,10.1,0.64,3.22,NA,0.068,1.5,0.48,0.18,11.1,15,7,6
NA,NA,0.34,3.07,0.99344,0.06,3.9,0.14,0.38,6.1,113,27,4
blanc,12.3,0.36,3.24,0.98926,0.027,1,0.38,0.24,6.5,90,31,6
blanc,12.9,0.65,3.13,0.99188,0.032,NA,0.32,0.35,6.7,113,29,7
NA,8.8,0.49,3.11,0.99918,0.061,NA,0.26,0.35,6.3,198,59,5
NA,12,0.76,3.23,NA,0.074,2.2,0.47,0.36,10.5,23,9,6
NA,11.4,0.55,3.25,0.9914,0.032,1.5,0.38,0.17,6.6,112,28,7
blanc,10.4,0.68,3,0.9923,0.033,1.1,0.49,0.18,8.2,81,28,7
blanc,9.7,0.79,3.43,0.9947,0.048,4.9,0.35,0.1,6.4,103,31,6
NA,10.5,0.71,3.32,0.99774,0.065,1.9,0.3,0.5,9.1,17,8,6
blanc,9.4,0.62,3.12,NA,0.185,0.8,0.27,0.33,6,188,12,5
NA,11.2,0.27,3.22,0.9913,0.045,3.7,0.28,0.15,5.7,151,57,6
rouge,9.1,0.48,3.12,0.99554,0.05,1.4,0.34,0.84,8.9,10,4,6
NA,9.3,0.3,3.27,0.99815,0.039,10.6,0.27,0.3,7.6,119,31,6
rouge,11.3,0.93,3.33,NA,0.049,2.2,0.4,0.18,7.9,67,38,5
NA,9,0.38,3.14,0.9959,0.052,7.6,0.32,0.31,6.8,143,35,5
NA,9.5,0.5,2.85,0.99784,0.042,17.5,0.71,0.19,6.8,114,21,6
